Bandit,Reward,Algorithm
3,3.7245875620266093,Epsilon Greedy
3,2.7927452183095913,Epsilon Greedy
3,2.6063226743331325,Epsilon Greedy
3,4.08435684780892,Epsilon Greedy
3,4.78201796750614,Epsilon Greedy
3,6.131246272440793,Epsilon Greedy
3,3.8782586229147014,Epsilon Greedy
3,5.826338338623789,Epsilon Greedy
3,3.3568119130193503,Epsilon Greedy
3,4.781615517539785,Epsilon Greedy
3,6.877315865261254,Epsilon Greedy
3,5.539840404087415,Epsilon Greedy
3,5.7814669331882165,Epsilon Greedy
3,4.3909727572008705,Epsilon Greedy
3,2.104678028634246,Epsilon Greedy
3,3.3556171165087783,Epsilon Greedy
3,5.035651086020386,Epsilon Greedy
3,4.614754900775705,Epsilon Greedy
3,4.760137749034829,Epsilon Greedy
3,4.217585079581006,Epsilon Greedy
3,4.227785509791548,Epsilon Greedy
3,4.873128465760306,Epsilon Greedy
3,3.855869948406561,Epsilon Greedy
3,6.115519554625941,Epsilon Greedy
3,4.233116882405085,Epsilon Greedy
3,4.590620577943127,Epsilon Greedy
3,6.245615500335635,Epsilon Greedy
3,3.387621510171204,Epsilon Greedy
3,2.4645424887521283,Epsilon Greedy
3,4.257997589956842,Epsilon Greedy
3,5.072517806240366,Epsilon Greedy
3,6.356421794599247,Epsilon Greedy
3,2.0878145586102494,Epsilon Greedy
3,6.253553442728666,Epsilon Greedy
3,2.747145106557936,Epsilon Greedy
3,4.522887364338201,Epsilon Greedy
3,5.320984870347171,Epsilon Greedy
3,5.813173428774866,Epsilon Greedy
3,4.445898940060975,Epsilon Greedy
3,4.544644536033135,Epsilon Greedy
3,5.33302714096052,Epsilon Greedy
3,4.405297591565307,Epsilon Greedy
3,3.6994405966226935,Epsilon Greedy
3,5.4655762239246455,Epsilon Greedy
3,3.1395839715328404,Epsilon Greedy
3,4.401061632547381,Epsilon Greedy
3,2.5227942273863295,Epsilon Greedy
3,3.4640923864946394,Epsilon Greedy
3,5.6865339837563145,Epsilon Greedy
3,2.2067780783820803,Epsilon Greedy
3,4.696011437337705,Epsilon Greedy
3,4.489216882329701,Epsilon Greedy
3,4.180797196245352,Epsilon Greedy
3,4.434162098390537,Epsilon Greedy
3,4.128751103828618,Epsilon Greedy
3,3.9867586843221448,Epsilon Greedy
3,4.120457010722754,Epsilon Greedy
3,2.8545056790880343,Epsilon Greedy
3,4.2613960416867,Epsilon Greedy
3,3.5151899648735974,Epsilon Greedy
3,2.771154348827065,Epsilon Greedy
3,5.386076753205419,Epsilon Greedy
3,2.941449415623431,Epsilon Greedy
3,4.780709614233833,Epsilon Greedy
3,3.399376645484319,Epsilon Greedy
3,3.578762161020987,Epsilon Greedy
3,2.317710578176272,Epsilon Greedy
3,5.201805037981964,Epsilon Greedy
3,3.6166956218982795,Epsilon Greedy
3,3.781578662392488,Epsilon Greedy
3,3.252325560907247,Epsilon Greedy
3,4.5699934857372435,Epsilon Greedy
3,3.9770415567183646,Epsilon Greedy
3,3.5215242518039735,Epsilon Greedy
3,4.239035291232971,Epsilon Greedy
3,4.131992876530951,Epsilon Greedy
3,4.781372877345807,Epsilon Greedy
3,6.137666591241551,Epsilon Greedy
3,4.915914756906927,Epsilon Greedy
3,4.5658183324240245,Epsilon Greedy
3,2.836394354745896,Epsilon Greedy
3,5.175844800394238,Epsilon Greedy
3,3.2624633688699634,Epsilon Greedy
3,4.776882294821847,Epsilon Greedy
3,4.864437172809573,Epsilon Greedy
